Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_IMAC-Kac_Exp4-1.mzXML,Depletion,,,H20120605_JQ,KAc,SEPTM_LF_IMAC-Kac_Exp4-1,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_IMAC-Kac_Exp4-2.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_IMAC-Kac_Exp4-2,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_IMAC-Kac_Exp4-3.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_IMAC-Kac_Exp4-3,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_KGG-Kac_Exp5-1.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_KGG-Kac_Exp5-1,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_KGG-Kac_Exp5-2.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_KGG-Kac_Exp5-2,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_KGG-Kac_Exp5-3.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_KGG-Kac_Exp5-3,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_Kac_Exp2-1.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_Kac_Exp2-1,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_Kac_Exp2-2.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_Kac_Exp2-2,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KAc_H20130306_PM_SEPTM_LF_Kac_Exp2-3.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_Kac_Exp2-3,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KGG_H20130306_PM_SEPTM_LF_IMAC-KGG-Exp3-1.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_IMAC-KGG-Exp3-1,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KGG_H20130306_PM_SEPTM_LF_IMAC-KGG-Exp3-2.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_IMAC-KGG-Exp3-2,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KGG_H20130306_PM_SEPTM_LF_IMAC-KGG-Exp3-3.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_IMAC-KGG-Exp3-3,,,,Homo Sapiens,,,,
MSV000078509,Depletion_Labelfree_KGG_H20130306_PM_SEPTM_LF_KGG_Exp1-1.mzXML,Depletion,,,H20120608_JQ,KAc,SEPTM_LF_KGG_Exp1-1,,,,Homo Sapiens,,,,
