Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000088387,100_oocytes_mature_immature/130403SL_Klun_sample1_longer_immature.mzML,100_oocytes_mature_immature,,,130403,longer_immature,130403SL_Klun_sample1_longer_immature,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130403SL_Klun_sample2_longer_mature.mzML,100_oocytes_mature_immature,,,130403,longer_mature,130403SL_Klun_sample2_longer_mature,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_1_oocytes-mature1.mzML,100_oocytes_mature_immature,,,130724,oocytes-mature,130724SL_Klun_1_oocytes-mature1,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_1_oocytes-mature2.mzML,100_oocytes_mature_immature,,,130724,oocytes-mature,130724SL_Klun_1_oocytes-mature2,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_3_oocytes-immature1.mzML,100_oocytes_mature_immature,,,130724,oocytes-immature,130724SL_Klun_3_oocytes-immature1,,,,Homo Sapiens,,,,
MSV000088387,100_oocytes_mature_immature/130724SL_Klun_3_oocytes-immature2.mzML,100_oocytes_mature_immature,,,130725,oocytes-immature,130725SL_Klun_3_oocytes-immature2,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_1-10-Ooc.mzML,10_oocytes_dimethyl_labeling,,,141030,GV-MII,141030SL_Klun_GV-MII_1-10-Ooc,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_2-10-Ooc.mzML,10_oocytes_dimethyl_labeling,,,141030,GV-MII,141030SL_Klun_GV-MII_2-10-Ooc,,,,Homo Sapiens,,,,
MSV000088387,10_oocytes_dimethyl_labeling/141030SL_Klun_GV-MII_3-10-Ooc.mzML,10_oocytes_dimethyl_labeling,,,141030,GV-MII,141030SL_Klun_GV-MII_3-10-Ooc,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_2_secretome-mature.mzML,secretome,,,130724,secretome-mature,130724SL_Klun_2_secretome-mature,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_4_secretome-immature.mzML,secretome,,,130724,secretome-immature,130724SL_Klun_3_secretome-mature,,,,Homo Sapiens,,,,
MSV000088387,secretome/130724SL_Klun_5_control-medium.mzML,secretome,,,130724,control-medium,130724SL_Klun_4_secretome-mature,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV3_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,GV,140818SL_GV3_single_oocyte,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV4_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,GV,140818SL_GV4_single_oocyte,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_GV5_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,GV,140818SL_GV5_single_oocyte,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII3_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,MII,140818SL_MII3_single_oocyte,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII4_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,MII,140818SL_MII4_single_oocyte,,,,Homo Sapiens,,,,
MSV000088387,single_oocytes_mature_immature/140818SL_MII5_single_oocyte.mzML,single_oocytes_mature_immature,,,140818,MII,140818SL_MII5_single_oocyte,,,,Homo Sapiens,,,,
